date,description,amount,category,paymentMethod
3/22/2026,Sunday Lunch (Rice & Turkey),-6500,Dining Out,Cash
3/22/2026,Mobile Data Top-up,-3500,Subscriptions,Bank Transfer
3/22/2026,Affiliate Blog Earnings,16000,Affiliate Income,Bank Transfer
3/23/2026,BRT Bus Fare,-1500,Public Transport,Cash
3/23/2026,Office Lunch,-3200,Dining Out,Cash
3/23/2026,Evening Snacks,-1200,Coffee & Snacks,Cash
3/24/2026,Freelance Website Fix,24000,Freelance / Contract,Bank Transfer
3/24/2026,Groceries (Weekly Essentials),-11000,Groceries,Card
3/24/2026,Pharmacy Purchase (Cold Medication),-2800,Pharmacy,Cash
3/25/2026,Interest Credit,2000,Interest,Bank Transfer
3/25/2026,Electricity Token Purchase,-7000,Utilities,Bank Transfer
3/25/2026,Shawarma & Drink,-2000,Coffee & Snacks,Cash
3/26/2026,Freelance Landing Page Update,21000,Freelance / Contract,Bank Transfer
3/26/2026,Uber Ride (Meeting),-4500,Ride Hailing,Card
3/26/2026,Dinner Takeout,-5500,Dining Out,Cash
3/27/2026,Online Course Purchase (React Patterns),-9000,Education,Card
3/27/2026,Fuel Top-up,-7000,Fuel,Cash
3/27/2026,Bank Transfer Fee,-150,Bank Fees,Bank Transfer
3/28/2026,Side Hustle (Phone Accessories Sales),20000,Business Income,Bank Transfer
3/28/2026,Weekend Hangout (Suya & Drinks),-6800,Entertainment,Cash
3/28/2026,Laundry Service,-3500,Personal Care,Cash

