date,description,amount,category,paymentMethod
2/15/2026,Freelance Website Fix,45000,Freelance / Contract,Bank Transfer
2/15/2026,Sunday Lunch (Local Restaurant),-5500,Dining Out,Cash
2/15/2026,Mobile Data Subscription,-4000,Subscriptions,Bank Transfer
2/16/2026,Office Transport (Bus),-1500,Public Transport,Cash
2/16/2026,Salary Advance,50000,Salary,Bank Transfer
2/16/2026,Lunch & Drink,-3000,Dining Out,Cash
2/17/2026,Affiliate Blog Earnings,18000,Affiliate Income,Bank Transfer
2/17/2026,Groceries (Mini Restock),-8500,Groceries,Card
2/17/2026,Barbing / Haircut,-2500,Personal Care,Cash
2/18/2026,Interest Credit,2500,Interest,Bank Transfer
2/18/2026,Electricity Token Purchase,-10000,Utilities,Bank Transfer
2/18/2026,Evening Snacks,-1200,Coffee & Snacks,Cash
2/19/2026,Freelance Logo Design,22000,Freelance / Contract,Bank Transfer
2/19/2026,Uber Ride (Meeting),-4500,Ride Hailing,Card
2/19/2026,Dinner (Takeout),-6000,Dining Out,Cash
2/20/2026,Gift from Friend,10000,Gifts,Bank Transfer
2/20/2026,Streaming Subscription Renewal,-3000,Subscriptions,Card
2/20/2026,Fuel Top-up,-8000,Fuel,Cash
2/21/2026,Side Hustle (Mini Import Sales),27000,Business Income,Bank Transfer
2/21/2026,Weekend Hangout Drinks,-7000,Entertainment,Cash
2/21/2026,Laundry Service,-3500,Personal Care,Cash
