date,description,amount,category,paymentMethod
3/29/2026,Sunday Lunch (Rice & Chicken),-6200,Dining Out,Cash
3/29/2026,Mobile Data Top-up,-3500,Subscriptions,Bank Transfer
3/29/2026,Creator Payout (TikTok Creator Fund),18000,Creator Payouts (YouTube, TikTok, X),Bank Transfer
3/30/2026,Salary Payment (March),250000,Salary,Bank Transfer
3/30/2026,BRT Bus Fare,-1500,Public Transport,Cash
3/30/2026,Office Lunch,-3500,Dining Out,Cash
3/31/2026,Transfer to Savings,50000,Savings,Bank Transfer
3/31/2026,Groceries (Weekly Restock),-14000,Groceries,Card
3/31/2026,Haircut & Beard Trim,-3000,Personal Care,Cash
4/1/2026,Investment Contribution,-25000,Investments,Bank Transfer
4/1/2026,Electricity Token Purchase,-10000,Utilities,Bank Transfer
4/1/2026,Coffee & Pastry,-1800,Coffee & Snacks,Cash
4/2/2026,Freelance API Fix Task,28000,Freelance / Contract,Bank Transfer
4/2/2026,Uber Ride (Client Meeting),-4800,Ride Hailing,Card
4/2/2026,Dinner Takeout,-6000,Dining Out,Cash
4/3/2026,Emergency Fund Contribution,-15000,Emergency Fund,Bank Transfer
4/3/2026,Spotify Subscription,-2500,Subscriptions,Card
4/3/2026,Fuel Top-up,-8500,Fuel,Cash
4/4/2026,Side Hustle (Gadget Resale Profit),26000,Business Income,Bank Transfer
4/4/2026,Weekend Hangout (Suya & Drinks),-7200,Entertainment,Cash
4/4/2026,Laundry Service,-3500,Personal Care,Cash

